,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49
gene_307,6.921198,8.332927,6.862191,7.626811,9.298775,7.761365,11.148655,9.411602,8.567663,9.760727,7.868039,11.924579,5.794671,8.121445,7.439407,10.149264,7.202232,10.866375,9.240887,7.2212,8.834917,9.239746,11.403353,7.386156,9.30202,7.136684,7.87508,8.602495,9.24204,8.423171,7.305578,9.686893,11.765033,7.656325,5.341239,8.939761,12.167471,7.894266,9.671157,7.994721,10.988678,4.93199,8.051236,8.020919,10.697176,8.56349,7.792159,5.946815,8.727216,9.468498
gene_308,5.80149,5.468007,8.634807,4.160751,8.655516,6.149485,10.664785,8.866608,8.966673,5.801358,7.385612,10.079045,7.044176,5.572705,4.723597,9.001768,6.0428,9.590346,9.155053,6.864657,8.505744,8.986946,6.508034,6.21296,9.938918,6.420861,7.099327,7.741541,11.106759,7.577738,6.333883,8.623691,9.532927,6.0131,6.77784,6.774273,10.454433,5.39532,6.473621,6.645215,11.290716,7.188312,7.606331,8.690333,9.570505,8.075148,8.649996,4.268898,7.571654,8.534097
gene_309,3.542295,3.365469,2.228018,3.573556,6.232569,4.956791,4.235214,5.20279,6.348691,3.030689,4.514034,3.914067,4.419013,5.369941,5.538253,7.752675,3.520058,5.004097,2.53834,4.416914,7.667225,3.30807,4.044989,3.349846,3.939518,6.029071,5.054284,4.289665,4.152362,6.161801,5.561772,6.097333,4.294319,5.317811,3.647568,5.222766,4.711324,4.208205,5.842041,3.945402,4.336169,2.448055,5.757207,4.789364,5.069002,5.939741,2.843642,3.82378,5.588963,5.781215
gene_310,6.268161,6.516472,5.785775,5.700703,7.71579,6.627842,8.75826,6.204254,9.482296,6.034473,6.137532,7.296421,5.286852,8.418418,6.913907,8.574189,6.452357,8.139188,8.158393,5.190362,6.348218,6.12747,8.216843,3.848998,6.619994,7.634237,6.529666,6.557534,7.147968,7.376282,6.741251,7.173597,9.127321,7.338059,6.231427,7.226692,8.048901,5.740175,7.380132,7.260703,7.463361,5.628424,7.313618,8.228453,7.672058,7.984122,5.46754,4.986748,7.121368,8.073178
gene_311,7.7551146,4.6231236,2.6226727,5.3109544,3.0191326,7.5594459,5.6321402,8.6143381,5.4644559,7.0449514,5.367018,3.4980849,6.33985,1.4136482,1.6545272,4.2394821,4.854275,4.7891763,3.4930965,7.1887965,0,1.349705,7.624196,4.737173,2.1625645,9.5418265,3.9919526,3.8392743,1.9703383,4.171415,2.0706984,4.6440062,2.925031,6.3837268,7.8106038,1.4348817,5.4094147,9.1943654,2.4727477,3.9454017,3.920884,7.4496934,8.2167459,4.5066781,4.1255932,8.5097908,8.4090642,3.4900309,1.6371001,2.8197908
gene_312,7.635109,6.674023,7.054425,7.220175,7.305633,7.186827,8.645532,8.908086,10.451386,6.846731,8.108707,9.721885,8.034392,6.458571,6.040123,8.113424,7.372961,8.971995,9.190319,8.381145,7.054675,8.870053,9.476588,4.127229,9.723673,8.025649,7.058262,8.298603,8.660003,6.975023,5.604581,6.89563,9.839423,7.94487,6.283209,7.59622,10.781024,8.541236,6.192119,7.15861,9.66841,7.589786,8.652823,9.224067,9.008104,7.680767,8.959744,8.822848,7.77067,9.477447
gene_313,8.450894,4.623124,3.352236,5.245568,6.562635,13.054982,7.074131,8.171687,8.325436,8.347373,5.723471,4.947951,8.103907,6.444856,5.022692,8.089938,3.761977,6.704125,6.483653,6.580492,5.204994,5.13212,5.733181,4.127229,3.959817,6.103137,4.195033,7.328747,5.553625,4.196434,6.136515,6.10415,7.50911,6.771489,7.37283,5.687607,6.975825,6.393162,7.092556,5.966982,6.457757,9.173932,7.259112,6.403428,5.361407,7.133769,8.292069,6.846192,6.605511,4.889965
gene_314,8.771998,6.203411,5.046971,7.080913,7.471943,8.491661,9.822717,9.3456,6.648299,6.259868,6.81779,7.330666,7.198514,8.062052,6.615126,8.599359,7.339155,8.773977,8.979245,7.339805,3.919988,7.284098,8.754176,4.673619,6.551451,10.922733,7.495159,6.481412,5.837537,9.083328,6.461632,6.54099,8.694013,8.273609,8.211621,7.714053,10.020827,8.454015,8.27831,8.457545,8.046513,5.960727,8.807709,10.021313,8.537552,7.470016,8.474963,5.858677,6.971727,8.052367
gene_315,7.646105,4.853961,2.533663,7.437769,6.884109,8.455064,7.777794,9.382468,5.918253,7.514966,6.074732,8.728856,8.508338,8.40785,3.937486,7.47656,6.109962,8.920025,9.159912,7.146024,3.431222,4.262726,7.960633,3.959715,9.371354,8.655434,5.230972,6.926296,6.035074,8.576341,8.815518,7.199299,9.601529,5.000167,8.396956,7.076976,10.526519,7.055337,6.911416,5.851749,10.516813,7.349763,8.951008,7.628059,8.989738,8.394964,6.67948,3.055074,8.379569,6.700856
gene_316,7.939279,8.978141,5.766373,5.690914,8.456248,9.016697,7.490073,9.632824,8.477609,8.285411,7.131662,8.95426,6.707759,6.213715,6.094048,10.271218,10.010962,7.251558,8.246318,6.476929,5.378446,8.809099,8.750379,9.057453,6.043931,10.021854,6.904568,6.676112,8.648246,3.697774,7.423847,6.979602,10.043588,8.263776,7.401229,5.687607,6.971567,8.673761,6.212696,7.738727,9.269202,6.333883,7.400128,7.953312,8.154074,6.925062,9.753738,7.88968,7.544725,8.210998
gene_317,5.4629783,7.3706613,1.0741629,4.419795,7.881475,6.5373722,6.1036319,7.543782,4.679176,5.2292726,6.0469559,3.2603569,3.9911363,7.1071543,4.4907177,5.9395957,8.1973199,3.6408523,4.3389164,4.21102,7.0819467,6.5413429,4.4711875,7.8676926,0.7242137,6.1031367,6.9998197,4.7879704,3.5783229,1.6808194,5.9332162,6.0697301,4.5305889,7.5389339,3.880568,4.8205466,3.7255121,5.6921956,8.9254328,6.1817446,2.2341947,3.9527715,4.687839,3.5934972,3.8789901,5.3749386,7.1608899,7.5726017,4.7934954,5.4586182
gene_318,8.033214,9.212968,4.647464,5.201148,7.770472,8.077248,8.32705,6.823278,4.737038,6.575167,6.167506,7.768773,7.318064,10.906177,5.59,7.093381,9.157534,7.086816,8.712193,6.423733,7.124432,6.376478,9.608088,7.380721,5.977713,8.644512,11.856772,8.048857,8.840595,9.182362,9.410042,4.833669,7.761079,7.795157,7.263645,7.531631,6.796468,8.751758,9.028586,8.980479,7.613907,6.255365,7.260769,7.48121,7.543767,5.321437,7.57563,11.812699,4.632198,6.035758
gene_319,6.649653,9.065395,7.584061,5.468264,6.596934,7.195308,8.496782,6.990047,9.036737,5.254133,7.007465,9.760655,7.741069,7.910649,6.702034,8.212457,8.937806,8.340402,9.819946,5.94509,7.857371,9.349129,8.183452,6.047322,8.548267,8.450259,6.042975,7.807973,7.741878,6.427824,8.575713,7.065949,10.723857,8.285809,6.935024,7.650233,7.535509,8.146528,7.888457,8.308585,9.581654,5.509955,6.645235,8.454377,8.37872,9.018172,4.733127,4.519404,8.252211,7.06374
gene_320,9.26958,7.263748,9.175078,9.772885,9.368683,10.391469,10.277125,9.515544,9.413736,10.038946,9.127246,9.353003,9.994099,9.386128,7.731998,9.323134,7.911757,10.547569,9.864291,9.608081,7.942737,7.518425,9.117547,6.753511,8.828977,10.494776,7.349586,8.051187,8.262532,9.510434,8.286299,9.065737,10.174776,9.05885,9.893355,8.686956,10.050869,9.950881,8.439739,8.078653,9.942748,10.086601,9.388637,9.729578,9.528931,8.994362,9.630637,7.158246,8.439262,8.703827
gene_321,3.5422952,0,0.4525954,1.0394192,1.2758414,0.5154097,2.7646434,1.0530418,0,5.4171031,1.4402081,3.4076383,4.521101,2.5830858,1.0524855,0.5332643,0.7639214,1.8443455,0.4011936,5.7683749,0,0.4720718,2.3674829,5.469072,0.2836848,4.3446368,0.5665716,0.4889263,1.0666059,6.4330947,3.4063462,0,3.0653655,0.6092822,5.0853057,0,4.113017,2.6427478,0,3.4647205,0.4187836,3.6019461,7.1986022,0,1.2456782,0,4.6340414,0,0.7685019,6.530759
gene_322,11.83908,13.23522,13.5662,13.52039,13.58264,12.45385,12.07733,12.37124,14.23292,12.51102,12.97797,13.02829,13.256,11.9395,12.97395,13.49037,13.64893,12.36384,12.74371,12.6381,13.23403,12.61942,13.51622,13.02518,12.9309,12.89361,12.87384,13.66267,13.07453,13.0732,13.55082,13.61468,12.99416,13.40837,12.70725,14.69136,12.60386,13.10355,13.16126,13.18878,12.88548,12.48718,12.63945,12.0876,12.34453,13.57981,11.63329,11.7894,13.72102,13.39091
gene_323,5.229403,9.188668,7.296834,9.021085,7.879736,7.358959,6.76082,6.902025,7.556698,7.114482,7.425703,7.385017,7.730457,6.381479,7.13948,7.591418,8.024364,7.142403,7.793792,8.664821,8.202667,8.077174,8.512626,4.757749,8.920466,7.922424,7.021346,8.950693,8.376195,7.720388,6.860851,7.252438,7.981681,5.336694,6.428256,8.185748,7.786145,7.966638,6.421545,5.702519,7.965236,7.29452,7.715633,7.387836,6.85604,8.396001,6.248347,7.251179,8.471074,7.50991
gene_324,6.620204,6.623393,7.683093,6.558027,6.159863,7.232853,6.312271,6.232028,6.755609,5.254133,5.970166,7.345973,6.98288,5.805143,6.000331,6.300444,7.610523,7.349763,5.74365,6.4062,6.801637,5.179129,7.815582,4.248512,6.733354,7.567378,7.845214,5.157646,8.002146,7.177051,6.834117,6.675251,6.01394,6.047894,6.915461,4.303006,6.653573,7.79554,5.952187,5.773316,7.733734,7.339877,7.32428,6.895945,7.193328,6.878247,6.265,9.219503,6.983814,7.075575
gene_325,6.734547,4.256241,6.164923,5.700703,5.903144,6.096154,6.818953,4.925059,5.164094,6.422226,6.379439,4.995304,5.212507,7.426122,5.847245,5.318635,4.628587,4.808359,4.469925,5.315718,3.696205,5.393608,5.320344,5.688592,3.766023,5.374584,6.460433,5.383576,6.090193,4.546975,3.961781,3.134977,4.754444,6.648421,6.352714,4.98479,5.132984,5.809278,5.238722,7.609253,3.786481,6.439522,6.06746,5.805968,5.767644,4.888242,6.854744,7.383411,3.65621,6.080374
gene_326,5.47947,7.572875,6.871302,3.73472,6.891042,6.390052,8.044618,6.794364,6.971325,4.859766,6.334195,7.639674,6.781622,6.936367,7.217909,7.059388,7.236024,7.495959,7.534139,4.479502,6.282558,9.467463,9.737241,6.047322,6.251585,6.588914,6.22097,4.766749,7.919775,6.265913,8.133897,7.630886,8.931467,8.331239,5.061776,7.095059,8.080844,6.690445,6.219488,7.807812,6.937697,5.195922,6.294025,6.727539,7.494208,7.293941,6.908729,4.771917,6.656704,7.487936
gene_327,9.138108,7.178635,8.046977,8.285319,7.22294,8.424737,6.730857,7.785518,6.377778,8.014238,7.702845,6.866512,7.764679,8.194973,7.553791,7.228116,7.301341,6.877634,7.073574,7.360742,7.05073,6.045284,7.654307,6.778892,6.072164,7.220978,7.366506,6.759049,7.17735,6.254046,7.337658,7.008966,7.171407,7.602729,7.753009,7.517929,6.266058,7.658683,6.593526,8.537688,6.144055,8.292483,7.992298,6.771516,6.141433,7.357182,7.521216,7.885227,6.922388,8.082005
gene_328,10.304728,9.591868,10.977552,9.81237,9.64248,9.766365,9.04066,9.71323,9.698555,9.74146,10.144097,9.615418,9.904266,11.062377,9.385304,8.735769,9.37782,10.124858,9.69158,9.353096,8.253247,11.02507,8.220509,9.745059,9.116778,8.817364,10.283447,9.844894,10.179088,9.859269,10.846658,9.546894,9.955013,10.807661,9.991564,10.409274,9.501176,9.130545,9.723473,9.976163,9.755872,9.933925,9.591977,9.474943,9.30954,10.102973,9.325928,9.930136,9.589857,9.343152
gene_329,10.36201,8.398915,8.968799,9.849702,9.169421,9.534616,9.387472,9.358258,9.045825,7.773251,9.774458,9.546225,9.689484,9.907392,9.709733,9.19469,9.670715,9.346401,9.199,9.664728,8.061031,9.10322,10.202124,10.031481,9.0848,9.43502,9.56715,10.322694,9.198806,8.852976,9.329359,8.060561,8.789436,10.041043,9.7257,9.235849,9.264414,10.156032,9.713883,10.149747,8.73719,10.126692,9.412976,9.558124,9.230234,8.958242,9.442147,8.954121,9.299815,8.956719
gene_330,8.094569,6.835242,8.692486,8.054729,7.602179,6.510448,7.111824,6.717868,6.497451,7.684587,7.791996,6.932876,7.730457,9.700067,6.79335,6.181031,7.849805,6.43463,6.017978,7.825703,3.478907,4.551793,7.41312,7.670175,4.963821,8.607301,8.544169,7.416536,7.31262,7.741791,8.096894,3.66413,6.303324,8.567386,7.989593,7.280381,6.032857,7.369379,8.610981,8.643842,6.014753,7.643034,7.799508,7.466872,6.889802,7.194747,7.15196,9.367365,7.091911,8.629506
gene_331,1.598651,0,2.2280183,3.1275342,2.8010966,3.3243354,2.0429244,1.4810406,1.683921,2.0908534,3.3819616,4.0398403,1.3609822,0.8734195,0.4414835,1.4796962,1.0336521,2.8663541,0.4011936,3.3882309,1.0617071,1.7324429,0,3.6867694,3.141351,1.8663937,0.5665716,0.8535167,0.7905218,0.3952822,5.3263036,3.0807088,0,1.8589358,1.9052739,4.8774007,0.4547023,0.9062749,3.4792694,1.4574367,2.0112451,1.9204839,2.0516853,2.0977456,3.3584103,2.2868811,0.9127265,0,1.931267,0
gene_332,7.102501,3.177726,4.042355,6.995982,11.192293,7.49223,7.539314,7.934517,6.056588,10.561937,11.110849,6.827806,7.581863,12.017859,4.743014,10.322514,7.050937,8.241535,7.588017,8.133641,10.17159,4.792496,5.860724,12.155546,5.116228,8.236536,3.341843,9.262593,8.554765,9.45774,12.507634,8.250772,7.539508,10.764731,7.338977,5.764972,8.01003,6.018296,6.723477,7.573329,7.612338,7.799133,9.69276,7.892373,6.325367,7.988259,7.221867,2.218967,5.029307,7.705384
gene_333,9.1065996,0.587845,0,7.8121003,6.5969337,9.0166969,3.1008263,9.9001075,5.8507044,8.1952196,8.1064687,6.7969611,7.5277038,2.2461344,7.2179092,5.3506104,2.1669403,2.4440309,5.7262781,7.7829196,4.1728635,3.4166641,1.866908,3.1148334,0.2836848,5.3278239,4.6741781,2.2112926,4.9502864,6.4011731,3.4539389,6.8022837,6.5797866,8.1021227,7.8995563,3.1618877,3.8041568,7.2251014,4.8407754,7.599541,8.7787178,8.5839477,7.9215256,8.1864263,0.4252444,6.792491,9.4088159,0.7916891,7.5089594,1.4075703
gene_334,9.596741,9.853579,9.462075,7.742875,8.622619,10.13526,10.834297,10.586465,9.956562,8.833412,9.603808,9.748408,9.768872,10.128291,10.303164,8.823138,10.12633,10.06777,10.712948,8.77311,7.944208,10.282023,10.82065,9.507164,8.810864,9.775604,10.602421,10.022076,9.979254,10.011325,10.463402,8.625066,10.301233,9.764926,9.848789,8.082995,11.194929,8.944832,10.052459,8.104625,9.873313,9.239023,9.931327,9.820694,10.267758,9.673254,9.719409,9.972046,9.827252,9.105157
gene_335,8.760234,5.980176,4.876468,5.671129,5.712962,8.367747,8.350749,8.487583,6.074463,6.986809,7.073199,8.618518,7.995021,6.921591,7.196932,7.501702,6.842941,9.087412,8.020908,5.956136,4.906823,4.527783,7.397024,6.706641,6.688474,7.732649,5.033247,6.964087,6.474503,5.71935,6.022747,5.209605,8.22929,9.237764,7.638392,5.108679,8.591047,7.384551,7.944888,7.68159,8.11822,7.852274,8.111965,9.328051,9.261996,5.650391,6.313835,7.492863,5.883555,6.646359
gene_336,7.2824676,2.2548661,1.6830227,6.0690254,6.5005774,7.4783975,9.105149,10.0338222,2.5116198,7.5505236,8.823259,9.5072833,8.3456891,7.5369155,2.3040437,6.9540451,4.4557678,10.1367733,9.7768311,7.6565679,2.8404028,3.5176536,5.425654,2.0232908,9.5366649,6.8193361,4.5611428,6.9500251,3.7446132,3.0441668,5.3516566,3.2377625,8.3301191,8.5713772,9.0099881,5.2006574,11.0237266,7.3845507,7.1398685,4.9394429,10.859162,8.8120746,8.4697191,8.9189646,9.5302698,7.3226312,9.2999017,2.9222169,8.8717944,7.304009
gene_337,10.547965,8.791752,11.260526,11.674537,11.246972,11.087012,10.033161,10.481678,9.681093,10.785166,10.111501,9.869489,10.52776,10.603691,9.956868,10.064433,11.529543,10.603552,10.262471,10.66594,9.008431,8.874818,10.495365,9.19301,10.189837,10.993724,11.035569,11.245571,10.249516,10.230933,10.951423,10.322604,9.383404,10.337287,10.803203,10.839031,11.162662,10.430965,11.891005,10.983557,10.72262,10.802032,11.281582,10.571231,10.324687,10.93585,9.33975,11.428303,10.313903,10.006396
gene_338,6.239396,11.407916,7.842137,5.950928,8.694643,7.781215,8.132042,8.303511,10.375604,7.093972,8.204009,10.152247,9.288437,7.758203,8.209565,9.326153,10.268624,8.91782,9.748612,6.42222,8.628424,8.978113,10.572283,5.934358,8.637574,11.953975,7.880979,7.779122,9.568872,8.759549,9.428,9.461856,10.59011,8.602918,7.319266,9.027151,8.129376,10.220874,8.182469,8.177679,9.647356,6.420882,8.027513,8.639323,9.142817,10.351072,7.238825,7.971808,8.766198,10.527409
gene_339,1.598651,0.3236583,0,0,0.3609822,0.8942939,3.4923788,0.4418022,2.8801761,0.7242137,0,5.2377128,0.4773665,0,0.7791336,0.9218171,1.0336521,5.8111987,6.0179776,1.2753051,0.4462562,0,0.4627853,0,0,4.1433199,0,0.8535167,7.2825139,1.5315686,0,0,1.734482,0,0.6315234,0,8.3187507,0,0,1.8556708,0,1.0801119,0.4784024,9.0441455,1.7654074,0,0.9127265,0,0.434775,0
gene_340,7.878394,9.070129,7.252202,8.448207,10.271323,8.211431,9.634858,9.374703,8.169224,7.623889,10.742587,10.28837,8.886175,10.34454,11.176796,10.066237,10.338736,10.038137,10.554637,8.003928,8.967232,8.642994,9.73852,10.138835,11.018666,10.530055,8.370539,9.970278,7.227385,7.089615,10.615032,10.395984,9.753852,9.581404,8.791384,9.903645,9.877014,10.512661,10.488161,8.554535,10.985323,8.2976,8.824074,9.868321,10.159379,10.690775,8.837032,9.084187,9.448123,9.548163
gene_341,0.5918709,0.3236583,0,0,2.0450934,2.4042764,0.531868,2.3048615,2.5116198,1.8511993,1.4402081,0,1.3609822,0,0,1.4796962,0.4319973,0.799336,0.4011936,0,1.6667112,0.4720718,3.0983353,0,0,0.6127771,0,2.898189,2.0987901,4.120045,0,0,1.1135672,0,0.6315234,0.6488335,0,1.8570255,0.4330663,0,0.4187836,0.6388616,0,0,0,1.431623,0,0,0.7685019,0.6331987
gene_342,2.92467,2.466601,2.1098286,1.0394192,2.5441391,3.3848925,1.4767964,5.3494608,3.5250415,2.9107327,5.4682184,4.3133112,2.5124545,2.9366474,1.8099494,0,0,4.0802824,6.0462509,0.5592471,2.318259,2.1648828,5.1918863,3.598258,3.8980632,6.9236484,5.7780009,2.9742172,2.7734267,10.9500528,0.439038,3.2865411,3.786795,4.7694703,3.5829293,1.094709,3.9496376,6.3161132,4.3401563,4.273113,3.7864814,4.4705304,4.3129047,4.8724939,3.9122187,3.9131192,1.8670266,0.7916891,5.1768852,3.7731735
gene_343,7.504207,4.927347,4.105485,6.053826,7.570167,7.366488,7.355157,7.490161,6.149467,7.575396,7.693919,7.661856,7.719758,7.993052,7.098601,8.465219,7.920103,6.465171,6.420255,6.288783,5.673067,7.199221,7.063427,6.278513,6.941541,7.430235,6.74552,5.541871,7.098895,6.982229,7.381396,6.623987,5.547709,8.290659,7.734527,6.429263,6.954429,7.925727,8.047718,8.31848,7.514746,7.061668,7.570971,8.295884,7.340954,7.38047,6.854744,7.344997,6.445869,8.13951
gene_344,12.60382,11.39018,12.01088,12.35521,11.73447,12.68467,12.48464,13.01031,12.91933,12.93555,12.30273,12.70245,12.52904,12.07253,11.74095,12.08615,11.96879,12.54559,12.76931,12.37708,12.00509,11.74756,12.05538,11.30171,12.42038,12.61732,12.06841,12.61041,11.89758,11.50551,12.21716,12.07752,12.39196,12.0754,12.64689,12.71227,12.66892,12.24695,12.28522,11.93109,12.44247,12.89113,12.20668,12.28044,12.88994,12.67383,13.01186,11.37727,11.29123,11.72612
gene_345,7.1547776,3.7085404,2.7065085,5.2981121,2.9676298,8.0687622,6.5366948,3.3157691,7.361821,4.0572683,4.1463049,4.6652506,4.8304075,1.4136482,2.3040437,4.677931,2.8645923,4.339622,6.2725178,8.9426171,3.9541312,6.6785227,3.1606782,1.103934,4.4067271,6.168285,2.1266425,3.470628,10.4415333,10.8043489,4.2583832,2.7736799,6.6371393,4.8765759,5.4357886,2.3146965,4.4673382,4.9412425,3.8024931,3.4065095,4.7693221,4.1006413,7.2516812,3.4384392,2.618779,3.4518573,4.4713631,1.3000065,3.5300957,5.6606891
gene_346,8.280177,11.144958,9.741929,8.888153,8.767976,9.648595,9.931445,11.016272,10.978024,10.237437,9.844029,11.53162,11.032817,8.155522,9.068733,10.035211,10.558698,11.489748,11.08324,9.086529,10.137644,9.891627,10.791619,5.553883,12.006558,10.752381,11.262676,10.730844,10.17545,10.508191,8.773927,11.673455,11.04978,9.640538,9.926297,10.065295,11.273924,10.88562,8.446992,8.815812,11.46705,10.985258,9.050654,11.366803,11.754854,11.605873,8.987605,11.330934,9.206697,8.917805
gene_347,0.5918709,1.32717,0.4525954,1.4640932,0.3609822,2.8096614,3.0238408,1.2828549,0,1.5636463,3.6015182,1.4416959,0,3.1545022,0,1.6942562,2.2749474,0.4542812,4.1169802,0.5592471,0,0.4720718,3.2912646,0,0,6.6757595,0,2.3317912,2.5217543,0,0,0.4053389,1.1135672,2.0541191,1.6765382,0.6488335,1.512328,4.6207917,3.1782047,1.6702512,1.2310022,0,1.3633954,0.4956952,0.7532622,0,0,0,1.0392788,0
gene_348,7.646105,7.2918061,3.4033768,3.5735563,3.0191326,9.517815,10.6184865,7.8586027,0.3523066,7.7027614,10.2299724,7.5179528,6.0550698,9.7773326,2.7503064,7.7705119,9.005021,6.3455082,11.034235,5.8416788,0,7.0596581,10.4060987,0,1.0611541,13.3660899,2.4138648,9.2114771,9.0577833,0.7051375,2.2963693,6.7726247,8.1288965,10.733456,7.0884385,3.9256672,8.1043419,12.3133734,9.2237218,7.015047,8.2292562,3.9527715,7.065163,6.8959448,5.3614069,0.5704629,7.3754565,4.0315452,6.7818842,5.0424649
gene_349,5.9149758,3.5930071,8.6937727,6.3119608,1.0956544,7.7642214,2.0429244,9.8837857,0,6.9106727,5.3367511,2.3560029,6.8905318,3.0854756,1.4803685,2.0463514,3.5200576,1.0775165,2.5383395,7.2970079,0,2.1648828,3.869447,0,1.9355352,4.5541406,5.6731069,3.9563727,3.6638683,3.3860936,1.2765562,2.9044263,0.8285503,6.8458789,6.0157339,1.9408433,4.6272975,10.4171985,6.7888814,3.9454017,0.4187836,5.4376206,5.2907156,1.9524454,0,4.0671568,7.8149605,7.7496683,0.7685019,1.9087361
gene_350,0.5918709,0,0,0,0,0,0,1.8106899,0,0,0.5144,1.0214087,0,0,0,0,0,0,1.5477953,0,0,0.4720718,1.0939658,0,0,0.3386811,0.972325,0,0.4486896,0,0,0,0,1.6331522,0,0,0.4547023,4.1383066,0,0,0,0,0,0,0,0,2.1796703,1.9725089,0,0
gene_351,11.736457,11.101194,11.047226,11.082635,11.064837,11.72378,11.564669,12.097094,11.184169,11.651343,11.173202,11.895625,11.918416,10.256999,10.134182,10.631968,10.665496,11.786743,11.805111,11.886024,11.396053,11.687013,11.37959,10.559052,12.530465,11.187216,11.583694,11.229179,11.733227,11.14476,10.595267,10.731591,11.126137,10.405386,11.487825,10.672328,11.256114,10.994714,10.630686,11.03429,10.974257,12.564583,11.230315,12.176927,12.039176,11.258272,11.872806,10.471055,10.742545,11.081011
gene_352,1.0102786,0.587845,1.0741629,0,0,2.0020184,1.8777442,4.4917056,1.0748479,1.2041407,1.8360857,7.5657876,3.2671612,0,2.4993995,0.5332643,3.9365814,5.6289806,8.2463178,6.9935385,0,6.8236602,1.7089818,0,8.0920594,2.2341027,4.5902427,0,1.0666059,1.1767057,0,2.3831375,0.8285503,0.6092822,0.6315234,1.094709,6.8517241,8.0307333,0,3.3458647,5.2240364,2.8335176,1.3633954,7.8923728,7.3163449,0.3132459,3.7394809,5.4152956,0,0
gene_353,0,0,0,0,0,0,0,1.9509909,0,0,0,0,0,0,0,0,1.9231872,0,0,0,0,0,2.1387817,0,0,0.6127771,0,0,3.7833624,0,1.9430586,0,0,0,0,1.9408433,0,8.6952213,2.3787613,0,0,0,0,0.8640177,0,0,1.4673838,0,0,1.071694
gene_354,8.0483288,3.6519242,6.3716564,8.6983887,5.8543573,7.0297731,6.7064339,7.3827537,4.8957389,6.1044981,6.1636316,7.8688226,8.7522,6.505567,6.3560839,6.3247962,6.1459647,8.3087531,6.1410567,6.8230232,5.781622,1.349705,4.109628,5.8601707,6.4653672,7.5327533,1.9582859,5.3695677,2.8484176,4.2210186,5.5288088,4.5066591,5.4357919,7.1533595,7.1622,5.2659882,7.3148868,7.7017292,8.4570894,5.6280649,6.6246273,8.9370412,7.7712253,7.7094492,7.5078581,6.3531768,8.2839218,2.4294285,5.5461629,4.0855946
gene_355,13.15789,10.777781,12.271457,12.866456,10.428077,12.083689,11.029094,11.837025,11.193575,11.408951,10.234087,10.742006,12.097433,10.524414,9.847305,10.540051,11.027007,11.267782,11.018715,12.131105,10.576532,9.681198,10.315659,11.340379,11.335552,10.851577,10.804841,10.080818,10.196233,11.268431,9.539758,10.434357,11.163216,11.138118,11.756377,9.585297,10.722432,10.799783,10.941554,11.146059,10.083306,12.755906,11.485673,11.201303,11.410965,9.128549,11.907691,10.916357,9.503703,10.972851
gene_356,1.8220367,0,0,0,0,0,0,0,0,0,1.1923204,0,0.8353582,0,0,0,0,0,0,0.5592471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7999991,0,0,0,0,0,0,0,0,0,0,0.7916891,0,0
gene_357,0,0,0.4525954,0,3.2085017,2.2822322,0,0,2.7076352,0,10.2483783,0.4257815,0.4773665,8.4869315,2.6714293,7.1799787,0,0.799336,0,0,1.2927229,0,0,0,0,0,0,8.2050601,8.7048408,0.7051375,2.8878567,7.2182775,0,9.2539987,0,4.0789599,0,0,9.6630813,7.1934465,0,1.6908193,0,0,0.7532622,1.1456775,0,0,6.4516776,0
gene_358,11.17278,12.26734,12.3355,12.35376,12.29416,11.32678,11.14837,11.33776,11.26228,11.27758,11.58628,11.84846,11.3085,11.60053,12.12688,11.84545,12.42483,11.36127,11.70448,11.41511,13.02148,11.68989,11.10993,13.21177,11.47083,11.24057,12.15753,12.51161,11.61,11.21032,12.45496,12.56217,11.7888,11.80916,11.84799,13.07613,11.29535,11.84603,12.73996,11.97415,11.32009,11.40507,11.4116,11.27883,11.23152,11.93646,11.2074,11.67599,12.15267,12.04726
gene_359,10.800212,11.165171,11.914198,10.525119,11.637141,10.902903,10.215703,11.038068,10.439363,10.801595,11.005961,10.905327,10.994785,12.63722,14.80049,11.653109,10.482243,10.72494,10.515355,10.635773,13.147399,10.718944,10.40529,10.429177,10.823829,10.721962,11.676508,11.716129,12.863398,12.903247,13.210639,12.436199,10.918878,10.84235,10.5504,15.314714,10.839086,10.241864,10.697593,10.707799,10.79852,10.968912,10.782286,10.366453,10.859302,13.190715,10.620861,11.803627,11.723482,10.921313
gene_360,8.715681,10.565987,8.728026,9.187008,9.229412,8.484762,7.795273,7.761897,9.566815,8.179088,8.54081,7.547373,7.676162,9.32287,8.331634,8.640361,10.147307,7.681674,7.313464,8.999783,9.342341,7.889717,8.413691,9.412485,8.057169,9.725301,8.163469,8.365426,8.170536,8.473925,8.654224,8.46853,7.446314,8.27116,8.662408,8.243655,8.288294,7.784144,8.818745,8.940264,7.194796,7.981915,8.493527,7.726314,7.589726,8.791401,7.8206,9.090004,9.0499,8.887912
