#Organism/Name	Size (Mb)	GC%	Genes	Proteins
Abiotrophia defectiva ATCC 49176	2.04344	47	1897	1801
Prevotella bivia JCVIHMP010	2.42443	39.8	2066	1970
Prevotella melaninogenica ATCC 25845	3.16828	40.9866	2444	2356
Porphyromonas endodontalis ATCC 35406	2.06451	47.5	1771	1693
Capnocytophaga gingivalis ATCC 33624	2.66714	40.5	2505	2364
Atopobium vaginae PB189-T1-4	1.44961	48.7	1192	1080
Gardnerella vaginalis 409-05	1.61755	42	1315	1246
Rothia dentocariosa ATCC 17931	2.50603	53.7	2126	2040
Clostridiales bacterium 1_7_47FAA	6.54897	50.1	5833	5652
Enhydrobacter aerosaccus SK60	2.70263	43.5	2407	2293
Bifidobacterium angulatum DSM 20098 = JCM 7096	2.00821	59.4	1614	1504
Providencia alcalifaciens DSM 30120	4.02935	41.8	3793	3674
Collinsella intestinalis DSM 13280	1.8095	62.4	1608	1485
Bacteroides coprophilus DSM 18228 = JCM 13818	4.0415	45.8	3382	3121
Pyramidobacter piscolens W5455	2.56201	59.8	2403	2256
Neisseria elongata subsp. glycolytica ATCC 29315	2.27595	54	2263	1831
Neisseria flavescens NRL30031/H210	2.20559	49.2	2147	1970
Neisseria mucosa ATCC 25996	2.57875	51.1	2456	2300
Neisseria polysaccharea ATCC 43768	2.03096	52	2110	1851
Neisseria sicca ATCC 29256	2.83077	50.9	2657	2447
Neisseria subflava NJ9703	2.29299	49	2214	2040
Filifactor alocis ATCC 35896	1.93101	35.4	1729	1644
Weissella paramesenteroides ATCC 33313	1.98022	38	1938	1852
Staphylococcus hominis SK119	2.22624	31.3	2174	2091
Leptotrichia goodfellowii F0264	2.28728	31.5	2251	2083
Treponema vincentii ATCC 35580	2.51459	45.7	2280	2041
Corynebacterium matruchotii ATCC 14266	2.85599	57.1	2510	2444
Atopobium rimae ATCC 49626	1.62629	49.3	1511	1440
Capnocytophaga sputigena ATCC 33612	2.99784	38.4	2720	2619
Propionibacterium acidifaciens F0233	3.01761	70.4	2571	2211
Corynebacterium amycolatum SK46	2.51391	58.6	2163	2088
Lactobacillus antri DSM 16041	2.3029	51	2139	2031
Mobiluncus curtisii ATCC 43063	2.14648	55.4	1863	1791
Mycobacterium parascrofulaceum ATCC BAA-614	6.56417	67.6	5989	5586
Corynebacterium glucuronolyticum ATCC 51867	2.80915	59.1	2450	2345
Holdemania filiformis DSM 12042	3.93292	50.1	3616	3346
Actinomyces coleocanis DSM 15436	1.72384	49.6	1526	1452
Actinomyces urogenitalis DSM 15434	2.70281	68	2272	2032
Anaerococcus tetradius ATCC 35098	2.14535	34.4	1993	1882
Gemella sanguinis M325	1.75611	29.8	1687	1550
Providencia rustigianii DSM 4541	3.97864	41.2	3762	3546
Enterobacter cancerogenus ATCC 35316	4.63865	55.9	4371	4228
Mitsuokella multacida DSM 20544	2.57706	58	2386	2248
Roseburia intestinalis XB6B4	4.28629	42.8	3699	3630
Parabacteroides johnsonii DSM 18315	4.7871	45.2	3918	3437
Blautia hansenii DSM 20583	3.05872	39	3042	2876
Prevotella copri DSM 18205	3.51247	44.8	2948	2784
Bacteroides cellulosilyticus DSM 14838	6.87014	42.7	5092	4636
Helicobacter cinaedi PAGU611	2.1014	38.5221	2131	1961
Staphylococcus capitis SK14	2.43583	32.8	2343	2237
Gemella haemolysans ATCC 10379	1.91619	30.9	1727	1623
Campylobacter rectus RM3267	2.51311	44.8	2465	2268
Campylobacter showae RM3277	2.07201	45.7	2052	1975
Campylobacter gracilis RM3268	2.25557	46.6	2237	2113
Anaerococcus lactolyticus ATCC 51172	2.20668	35.1	2064	1950
Chryseobacterium gleum ATCC 35910	5.57064	36.8	5124	4993
Corynebacterium pseudogenitalium ATCC 33035	2.60143	59.5	2452	2345
Neisseria cinerea ATCC 14685	1.87277	50.8	1799	1675
Dorea formicigenerans ATCC 27755	3.18603	41	3062	2935
Selenomonas sputigena ATCC 35185	2.56836	57.1	2339	2254
Selenomonas sputigena ATCC 35185	2.55945	57.1	2335	2230
Veillonella dispar ATCC 17748	2.11877	38.9	1979	1901
Peptostreptococcus stomatis DSM 17678	1.98804	36.7	1803	1718
Acinetobacter radioresistens SH164	3.15801	41.6	2980	2888
Corynebacterium accolens ATCC 49726	2.46564	59.1	2261	2061
Corynebacterium lipophiloflavum DSM 44291	2.38578	64.2	2250	2081
Corynebacterium aurimucosum ATCC 700975	2.81923	60.5248	2645	2553
Corynebacterium aurimucosum ATCC 700975	2.73033	60.7	2561	2449
Bifidobacterium gallicum DSM 20093 = LMG 11596	2.0198	57.5	1565	1425
Roseburia inulinivorans DSM 16841	4.04846	41.9	3875	3499
Anaerococcus hydrogenalis DSM 7454	1.88937	29.6	1848	1524
Butyrivibrio crossotus DSM 2876	2.49604	37.8	2449	2334
Oxalobacter formigenes HOxBLS	2.48839	52.7	2538	2436
Fusobacterium ulcerans ATCC 49185	3.4875	30.4	3264	3112
Helicobacter bilis ATCC 43879	2.53052	34.8	2367	2183
Helicobacter winghamensis ATCC BAA-430	1.69022	35.8	1694	1598
Fusobacterium mortiferum ATCC 9817	2.67104	29.1	2652	2500
Fusobacterium varium ATCC 27725	3.2998	29.2	3078	2910
Rhodococcus equi 103S	5.04317	68.8	4614	4522
Roseomonas cervicalis ATCC 49957	5.10098	69	4335	3707
Sphingobacterium spiritivorum ATCC 33300	5.23295	39.9	4604	4305
Aeromicrobium marinum DSM 15272	3.07984	71.1	3086	2980
Brevibacterium mcbrellneri ATCC 49030	2.5618	58	2365	2223
Corynebacterium genitalium ATCC 33030	2.34995	62.7	2222	2120
Lactobacillus amylolyticus DSM 11664	1.54081	38.3	1581	1406
Lactobacillus iners AB-1	1.28746	32.7	1226	1155
Prevotella bergensis DSM 17361	3.27367	47.6	2571	2441
Selenomonas noxia ATCC 43541	2.05499	55.8	1975	1872
Starkeya novella DSM 506	4.76502	67.9	4477	4359
Cardiobacterium hominis ATCC 15826	2.64249	59	2445	2280
Granulicatella adiacens ATCC 49175	1.94717	37.8	1866	1821
Selenomonas flueggei ATCC 43531	2.16606	55.9	2072	1973
Bacillus atrophaeus 1942	4.16827	43.2	4078	3946
Thalassobium sp. R2A62	3.48793	55.2	3488	3328
Klebsiella variicola At-22	5.4585	57.6	5113	4979
Segniliparus rotundus DSM 44985	3.15753	66.8	3062	2963
Desulfovibrio desulfuricans ND132	3.85858	65.2	3481	3398
Syntrophothermus lipocalidus DSM 12680	2.40556	51	2366	2287
Marivirga tractuosa DSM 4126	4.51649	35.5046	3802	3729
Silicibacter sp. TrichCH4B	4.68908	58.7	4449	4238
Arcanobacterium haemolyticum DSM 20595	1.98615	53.1	1830	1721
Desulfarculus baarsii DSM 2075	3.65573	65.7	3294	3204
Micromonospora aurantiaca ATCC 27029	7.02556	72.8	6274	6163
Silicibacter lacuscaerulensis ITI-1157	3.52371	62.9	3491	3328
Corynebacterium kroppenstedtii DSM 44385	2.4468	57.5	2072	1939
Flavobacteriaceae bacterium 3519-10	2.7681	42.7	2543	2464
Desulfovibrio aespoeensis Aspo-2	3.62911	62.6	3350	3232
Thermaerobacter marianensis DSM 12885	2.8447	72.5	2370	2235
Syntrophobotulus glycolicus DSM 8271	3.40674	46.4	3363	3236
Leadbetterella byssophila DSM 17132	4.05965	40.4	3610	3469
Parachlamydia acanthamoebae UV-7	3.07238	39	2618	2531
Truepera radiovictrix DSM 17093	3.2604	68.1	2966	2850
Bacillus cellulosilyticus DSM 2522	4.68167	36.5	4271	4124
Ochrobactrum intermedium LMG 3301	4.72539	57.7	4485	4237
Streptomyces griseus subsp. griseus NBRC 13350	8.54593	72.2	7092	6942
Desulfurispirillum indicum S5	2.92838	56.1	2705	2616
Lactobacillus coleohominis 101-4-CHN	1.72583	41.4	1691	1570
Rhodomicrobium vannielii ATCC 17100	4.01447	62.2	3703	3552
Anaerococcus vaginalis ATCC 51170	1.89177	29	1766	1689
Aerococcus viridans ATCC 11563	2.00585	39.5	1845	1768
Streptococcus oralis Uo5	1.95869	41.1	1946	1823
Prevotella buccae D17	3.35795	50.9	2716	2499
Achromobacter xylosoxidans A8	7.35915	65.791	6791	6680
Actinomyces viscosus C505	3.1345	68.5	2594	2407
Granulicatella elegans ATCC 700633	1.74336	33.4	1616	1548
Actinomyces graevenitzii C83	2.20573	57.8	1870	1735
Atopobium parvulum DSM 20469	1.54381	45.7	1406	1340
Gemella morbillorum M424	1.75292	30.9	1645	1533
Megasphaera micronuciformis F0359	1.76553	45.4	1747	1666
Frankia symbiont of Datisca glomerata	5.34099	69.9675	4473	4108
Zunongwangia profunda SM-A87	5.12819	36.2	4471	4336
Gordonibacter pamelaeae 7-10-1-b	3.60802	64	3293	2571
Bacteroides xylanisolvens XB1A	5.97615	42.1	4466	4407
Candidatus Liberibacter solanacearum CLso-ZC1	1.25828	35.2	1148	1038
Legionella drancourtii LLAP12	4.15261	39.4	3652	3374
Thermoanaerobacter pseudethanolicus ATCC 33223	2.36282	34.5	2340	2219
Acidovorax citrulli AAC00-1	5.35277	68.5	4761	4598
Magnetospirillum magneticum AMB-1	4.96715	65.1	4607	4478
Pseudomonas syringae pv. tomato str. DC3000	6.53826	58.3401	5842	5619
Corynebacterium ammoniagenes DSM 20306	2.76417	55.6	2501	2407
Prevotella oris C735	3.34623	43.9	2864	2615
Prevotella veroralis F0319	2.99394	41.9	2484	2287
Slackia exigua ATCC 700122	2.09629	62.1	1784	1714
Acinetobacter calcoaceticus PHEA-2	3.86253	38.8	3674	3599
Acinetobacter johnsonii SH046	3.69001	41.3	3444	3233
Acinetobacter junii SH205	3.46306	39	3246	3059
Acinetobacter lwoffii SH145	3.481	42.8	3193	3010
Pseudoalteromonas sp. SM9913	4.03767	40.2953	3652	3522
Methylotenera mobilis JLW8	2.54757	45.5	2373	2310
Corynebacterium resistens DSM 45100	2.60131	57.1	2256	2118
Candidatus Regiella insecticola LSR1	2.0674	42.4361	2084	1736
Ethanoligenens harbinense YUAN-3	3.00858	55.6	2831	2708
Pantoea stewartii subsp. stewartii DC283	5.23321	53.8	5289	4800
Spirochaeta thermophila DSM 6192	2.47264	61.9	2260	2195
Acidilobus saccharovorans 345-15	1.49645	57.2	1524	1469
Cronobacter turicensis z3032	4.59909	57.2342	4260	4102
Cronobacter turicensis 564	4.56776	57.2	4319	3385
Methylotenera versatilis 301	3.05987	42.6	2824	2731
Bacillus smithii 7_3_47FAA	3.2389	40.7	3235	2832
Bacteroides salanitronis DSM 18170	4.30866	46.4428	3754	3589
Thermodesulfatator indicus DSM 15286	2.32222	42.4	2282	2199
Pasteurella dagmatis ATCC 43325	2.26325	37.5	2047	1980
Serratia odorifera DSM 4582	5.26739	55.9	4801	4552
Cylindrospermopsis raciborskii CS-505	3.87903	40.2	3401	3176
Raphidiopsis brookii D9	3.18651	40.1	2929	2602
Caldicellulosiruptor lactoaceticus 6A	2.67481	36.1	2509	2276
Dehalogenimonas lykanthroporepellens BL-DC-9	1.68651	55	1716	1637
Oceanithermus profundus DSM 14977	2.43929	69.7891	2404	2339
Vibrio mimicus VM223	4.34797	46.2	4101	3902
Nitrosococcus watsonii C-113	3.37329	50.1211	3106	2924
Caldicellulosiruptor obsidiansis OB47	2.53234	35.2	2349	2179
Erysipelotrichaceae bacterium 3_1_53	4.4862	42.6	4248	3526
Lachnospiraceae bacterium 1_1_57FAA	2.93002	41.9	2680	2417
Lachnospiraceae bacterium 1_4_56FAA	3.2339	45.5	3113	2833
Lachnospiraceae bacterium 2_1_58FAA	3.46075	42.4	3426	3129
Lachnospiraceae bacterium 3_1_57FAA_CT1	7.71284	46.8	6652	6475
Lachnospiraceae bacterium 5_1_57FAA	3.33956	46.3	3353	3147
Lachnospiraceae bacterium 5_1_63FAA	3.04119	37.2	2953	2531
Lachnospiraceae bacterium 6_1_63FAA	2.72557	38.8	2669	2531
Lachnospiraceae bacterium 7_1_58FAA	5.66809	58.1	5771	5342
Lachnospiraceae bacterium 9_1_43BFAA	2.84488	41.4	2725	2573
Lachnospiraceae bacterium 3_1_46FAA	3.11822	42.1	2915	2762
Lachnospiraceae bacterium 8_1_57FAA	2.92735	41.9	2677	2513
Vibrio orientalis CIP 102891 = ATCC 33934	4.69824	44.8	4300	4165
Vibrio orientalis CIP 102891 = ATCC 33934	4.65301	44.7	4238	4143
Vibrio coralliilyticus ATCC BAA-450	5.68063	45.7	5173	4991
Vibrio metschnikovii CIP 69.14	3.8151	44.1	3399	3189
Grimontia hollisae CIP 101886	4.00279	49.5	3657	3504
Vibrio furnissii NCTC 11218	4.91641	50.634	4541	4351
Pseudonocardia dioxanivorans CB1190	7.30399	73.2078	6844	6600
Prevotella timonensis CRIS 5C-B1	2.79607	42.2	2252	2153
Prevotella buccalis ATCC 35310	3.03396	45.3	2452	2346
Prevotella amnii CRIS 21A-A	2.41556	36.5	2059	1940
Bulleidia extructa W1219	1.41958	36.3	1422	1347
Segniliparus rugosus ATCC BAA-974	3.58763	68.2	3444	3291
Johnsonella ignava ATCC 51276	2.68708	35.8	2384	2217
Selenomonas infelix ATCC 43532	2.41363	56	2244	2148
Methanosalsum zhilinae DSM 4017	2.13844	39.2	2034	1946
Sulfobacillus acidophilus TPY	3.55121	56.8	3837	3754
Bacteroides coprosuis DSM 18011	2.9918	35	2516	2390
Geobacillus thermoglucosidasius C56-YS93	3.99379	43.9823	3992	3717
Caldicellulosiruptor hydrothermalis 108	2.77068	36.1	2653	2540
Caldicellulosiruptor owensensis OL	2.4289	35.4	2292	2142
Leuconostoc kimchii IMSNU 11154	2.10179	37.9101	2113	2010
Corynebacterium pseudotuberculosis FRC41	2.33791	52.2	2102	2000
Erysipelotrichaceae bacterium 5_2_54FAA	3.1375	38.2	2857	2741
alpha proteobacterium HIMB114	1.23737	29.6	1337	1297
Citromicrobium bathyomarinum JL354	3.27333	65	3184	3085
Thermincola potens JR	3.15742	45.9	3028	2926
Enterobacter asburiae LF7a	5.01213	53.8376	4752	4606
Clostridium lentocellum DSM 5427	4.71424	34.3	4273	4068
Prevotella multisaccharivorax DSM 17128	3.38864	48.3	2801	2627
Cellulophaga algicola DSM 14237	4.88835	33.8	4248	4131
Veillonella parvula DSM 2008	2.13214	38.6	1893	1822
Alicycliphilus denitrificans BC	4.83571	67.9887	4582	4455
Cupriavidus necator N-1	8.48086	65.4817	7725	7391
Bacillus cytotoxicus NVH 391-98	4.09416	35.8902	4062	3767
Mesorhizobium ciceri biovar biserrulae WSM1271	6.69003	62.5728	6532	6264
Methylosinus trichosporium OB3b	4.96226	65.9	4527	4344
Brucella sp. NVSL 07-0026	3.29714	57.1	3102	2756
Xanthomonas campestris pv. vesicatoria str. 85-10	5.42015	64.5103	4693	4458
Haloterrigena turkmenica DSM 5511	5.44078	64.2484	5074	4911
Aminomonas paucivorans DSM 12260	2.63017	67.6	2456	2349
Methanohalobium evestigatum Z-7303	2.40623	36.3956	2378	2272
Deinococcus proteolyticus MRP	2.88684	65.6669	2724	2573
Bacteroides helcogenes P 36-108	3.99891	44.7	3316	3175
Bacteroidetes oral taxon 274 str. F0058	2.11354	43.1	1920	1839
Bilophila wadsworthia 3_1_6	4.39119	59.3	3809	3690
Burkholderiales bacterium 1_1_47	2.65565	48.5	2465	2338
Enterobacteriaceae bacterium 9_2_54FAA	4.49707	48	4082	3957
Scardovia inopinata F0304	1.80401	48.6	1494	1368
Simonsiella muelleri ATCC 29453	2.37261	41.6	2287	2113
Erysipelotrichaceae bacterium 2_2_44A	4.98647	43.4	4925	4745
Capnocytophaga granulosa ATCC 51502	2.74628	41.5	2506	2398
Riemerella anatipestifer ATCC 11845 = DSM 15868	2.15512	35	2027	1967
Riemerella anatipestifer ATCC 11845 = DSM 15868	2.16409	35	2038	1977
Paludibacter propionicigenes WB4	3.6855	38.9	3040	2957
Lactobacillus amylovorus GRL 1112	2.12667	38.076	2140	1964
Candidatus Midichloria mitochondrii IricVA	1.18373	36.6	1246	1161
Streptococcus constellatus subsp. pharyngis C1050	1.99116	38.1	1990	1825
Mahella australiensis 50-1 BON	3.13597	43.5	2950	2853
Thermoanaerobacter wiegelii Rt8.B1	2.78506	34.3	2717	2432
Staphylococcus lugdunensis HKU09-01	2.65837	33.9	2513	2410
Ruminococcaceae bacterium D16	3.19735	56.8	3106	2998
Parascardovia denticolens F0305	1.89712	58.3	1580	1488
Megasphaera genomosp. type_1 str. 28L	1.7262	46.1	1589	1506
Caldicellulosiruptor kristjanssonii I77R1B	2.80244	36.0983	2636	2484
Coriobacterium glomerans PW2	2.11568	60.4	1839	1733
Niastella koreensis GR20-10	9.03368	44.9	7244	7107
Turicibacter sanguinis PC909	2.95341	34.1	2777	2680
Methanocella paludicola SANAE	2.95763	54.9	3062	3004
Streptomyces violaceusniger Tu 4113	11.1383	70.9048	9203	8721
Halanaerobium hydrogeniformans	2.61312	33.2	2447	2322
Prevotella oulorum F0390	2.80589	46.8	2378	2252
Prevotella nigrescens ATCC 33563	2.66919	42.7	2157	2056
Streptococcus anginosus C238	2.23364	38.2	2184	2015
Pantoea ananatis LMG 20103	4.70337	53.7	4302	4076
Candidatus Sulcia muelleri GWSS	0.24553	22.4	264	227
Desulfomonile tiedjei DSM 6799	6.52703	50.1107	5612	5486
Acinetobacter haemolyticus ATCC 19194	3.7152	40.4	3285	3030
Desulfovibrio fructosivorans JJ	4.67359	63.9	4098	4000
Sulfuricurvum kujiense DSM 16994	2.81936	44.5704	2829	2743
Helicobacter suis HS1	1.63529	39.9	1650	1513
Deinococcus maricopensis DSM 21211	3.49853	69.8	3306	3215
Amycolatopsis mediterranei U32	10.2367	71.3	9292	9228
Pantoea vagans C9-1	4.88834	55.0916	4509	4302
Lactobacillus sanfranciscensis TMW 1.1304	1.37577	34.8429	1434	1298
Methanothermococcus okinawensis IH1	1.67745	29.2777	1658	1556
Lysinibacillus fusiformis ZC1	4.64942	37.3	4530	4367
Mucilaginibacter paludis DSM 18603	8.40832	42.9	7111	6950
Paenibacillus vortex V453	6.38595	48.8	5792	5157
Asticcacaulis biprosthecum C19	5.41153	60.7	4659	4467
Acetivibrio cellulolyticus CD2	6.15674	35.5	4992	4765
Streptococcus gallolyticus UCN34	2.35091	37.6	2315	2205
Coprococcus catus GD/7	3.5227	43.2	3040	2985
Alistipes shahii WAL 8301	3.76332	57.2	3093	2851
Fretibacterium fastidiosum	2.72834	61.5	1476	1435
Roseburia hominis A2-183	3.59212	48.5	3285	3143
Methanothermobacter marburgensis str. Marburg	1.63914	48.5913	1761	1689
Intrasporangium calvum DSM 43043	4.02438	70.7	3670	3529
Waddlia chondrophila WSU 86-1044	2.13191	43.7547	1912	1851
Flexistipes sinusarabici DSM 4947	2.52659	38.3	2397	2311
Acinetobacter oleivorans DR1	4.15254	38.7	3903	3787
Marinobacter adhaerens HP15	4.65172	56.8223	4315	4176
Deferribacter desulfuricans SSM1	2.54293	30.2992	2491	2428
Thermus scotoductus SA-01	2.35519	64.9036	2483	2394
Mycoplasma putrefaciens KS1	0.832603	26.9	716	654
Mycoplasma ovipneumoniae SC01	1.0202	28.9	740	682
Taylorella equigenitalis MCE9	1.69586	37.4	1563	1503
gamma proteobacterium HIMB55	2.73699	52.9	2501	2442
alpha proteobacterium HIMB59	1.41013	32.3	1512	1467
delta proteobacterium NaphS2	6.55472	49.8	6423	5888
Thermodesulfobium narugense DSM 14796	1.89887	33.9	1891	1825
Nitratifractor salsuginis DSM 16511	2.10128	53.9	2146	2076
Sphingobium japonicum UT26S	4.42486	64.8793	4153	4053
gamma proteobacterium HIMB30	2.16887	49.9	2243	2181
Prevotella bryantii B14	3.59295	39.1	2946	2695
Brevundimonas diminuta ATCC 11568	3.36932	66.3	3319	3010
Streptomyces bingchenggensis BCW-1	11.9367	70.8	9793	9339
Leptospira santarosai str. 2000030832	3.99616	41.8	3739	3546
Microcoleus vaginatus FGP-2	6.69893	46	5416	5078
Fluviicola taffensis DSM 16823	4.63358	36.5	4069	3991
Desulfotomaculum ruminis DSM 2154	3.96901	47.2	3917	3772
Granulicella mallensis MP5ACTX8	6.23758	57.9	4844	4735
Sphaerochaeta globosa str. Buddy	3.31647	48.9	3096	3019
Succinivibrionaceae bacterium WG-1	2.95262	32.3	2501	2063
Ketogulonicigenium vulgare WSH-001	3.2771	61.7339	3198	3054
Ketogulonicigenium vulgare Y25	3.2884	61.7422	3313	3034
Selenomonas artemidis F0399	2.21031	57.2	2066	1985
Treponema phagedenis F0421	2.83042	40.1	2435	2263
Bacteroides oleiciplenus YIT 12058	7.08773	43.5	5460	5320
Barnesiella intestinihominis YIT 11860	3.44391	43.9	2808	2700
Alistipes indistinctus YIT 12060	2.85543	54.7	2361	2262
Lachnospiraceae bacterium 2_1_46FAA	2.21903	38.8	2104	2011
Sutterella wadsworthensis 3_1_45B	2.96544	55.1	2525	2361
Slackia piriformis YIT 12062	2.11933	57.6	1866	1750
Odoribacter laneus YIT 12061	3.77301	40.6	3134	3008
Megamonas funiformis YIT 11815	2.56251	31.6	2512	2393
Fusobacterium necrophorum subsp. funduliforme 1_1_36S	2.3127	34.7	3250	3197
Enterococcus saccharolyticus 30_1	3.13766	40.7	3003	2809
Eggerthella lenta DSM 2243	3.63226	64.2	3125	3032
Dysgonomonas mossii DSM 22836	3.95437	37.5	3373	3292
Dysgonomonas mossii DSM 22836	3.9238	37.5	3325	3259
Dysgonomonas gadei ATCC BAA-286	5.17609	39.6	4097	3952
Dialister succinatiphilus YIT 11850	2.49988	50.4	2190	2087
Collinsella tanakaei YIT 12063	2.49208	60.2	2221	2082
Sphaerochaeta coccoides DSM 17374	2.2273	50.6	1907	1820
Hippea maritima DSM 10411	1.69443	37.5	1782	1699
Haliscomenobacter hydrossis DSM 1100	8.77165	47.0706	6852	6706
Methylobacter tundripaludum SV96	4.84833	49.5	4292	4101
Brachyspira pilosicoli 95/1000	2.58644	27.9	2311	2257
Parasutterella excrementihominis YIT 11859	2.8317	48.1	2566	2470
Sutterella parvirubra YIT 11816	2.3769	65.2	2043	1752
Paraprevotella clara YIT 11840	4.23377	48.2	3374	3276
Paraprevotella xylaniphila YIT 11841	3.78981	48.5	3026	2865
Phascolarctobacterium succinatutens YIT 12067	2.12195	47.6	2026	1937
Succinatimonas hippei YIT 12066	2.30655	40.3	2060	1947
Bacteroides clarus YIT 12056	3.74717	45.4	3041	2955
Bacteroides fluxus YIT 12057	4.33072	45.6	3557	3399
Nocardioidaceae bacterium Broad-1	5.93211	69.4	5704	5425
Streptococcus parasanguinis ATCC 15912	2.15365	41.7	2028	1924
Achromobacter piechaudii ATCC 43553	6.15444	64.5	5577	5291
Streptococcus downei F0415	2.23942	43.4	2270	2204
Streptococcus urinalis 2285-97	2.13043	34.2	2213	2088
Streptococcus macacae NCTC 11558	1.91698	37.8	1857	1742
Streptococcus ictaluri 707-05	2.2344	38.2	2290	1962
Desulfurococcus mucosus DSM 2162	1.31464	53.1	1399	1335
Oscillochloris trichoides DG-6	4.37308	59.1	3462	3332
Terriglobus saanensis SP1PR4	5.09523	57.3	4261	4163
Mesotoga prima MesG1.Ag.4.2	2.97595	45.4977	2739	2636
Runella slithyformis DSM 19594	6.91973	46.4335	5842	5718
Paenibacillus curdlanolyticus YK9	5.45278	51.9	4841	4626
Propionibacterium propionicum F0230a	3.44936	66.1	3063	2967
Prevotella denticola F0289	2.93759	50.4	2336	2232
Thermovibrio ammonificans HB-1	1.75953	52.1174	1858	1790
Halalkalicoccus jeotgali B3	3.69865	62.5582	3717	3636
Halalkalicoccus jeotgali B3	3.61412	62.6	3657	3523
Halalkalicoccus jeotgali B3	3.6375	62.6	3680	3584
Calditerrivibrio nitroreducens DSM 19672	2.21655	35.6755	2148	2083
Isoptericola variabilis 225	3.30774	73.9	3052	2919
Pseudomonas fulva 12-X	4.92077	63.5	4494	4387
Stomatobaculum longum	2.31363	55	2136	1990
Scardovia wiggsiae F0424	1.5555	52.9	1286	1219
Scardovia wiggsiae F0424	1.55082	52.9	1283	1222
Prevotella histicola F0411	2.99243	41.2	2399	2276
Peptostreptococcaceae bacterium ACC19a	2.54363	30.4	2211	2050
Peptostreptococcaceae bacterium CM2	2.32516	30.2	2005	1908
Peptostreptococcaceae bacterium CM5	2.59672	30.5	2288	2125
Caloramator australicus RC3	2.63845	32.8	2720	2498
Sphingobium chlorophenolicum L-1	4.57322	63.8346	4180	4036
Corynebacterium variabile DSM 44702	3.43301	67.1	3155	2955
Candidatus Blochmannia vafer str. BVAF	0.722585	27.5	626	578
Capnocytophaga canimorsus Cc5	2.57141	36.1	2296	2188
Thermoanaerobacterium xylanolyticum LX-11	2.53436	35	2435	2312
Agrobacterium sp. H13-3	5.57377	58.5333	5244	5097
Haemophilus parainfluenzae T3T1	2.08688	39.6	2033	1946
Haladaptatus paucihalophilus DX253	4.28481	61.8	4240	4165
Haladaptatus paucihalophilus DX253	4.31754	61.8	4269	4190
Peptoniphilus duerdenii ATCC BAA-1640	2.12484	34.5	1929	1860
Weeksella virosa DSM 16922	2.27295	35.9	2164	2061
Rahnella aquatilis CIP 78.65 = ATCC 33071	5.4489	52.0762	4920	4767
Rahnella aquatilis HX2	5.6568	52.1505	5131	4942
Vibrio tubiashii ATCC 19109	5.46746	44.9	5092	4853
Cellulophaga lytica DSM 7489	3.76594	32.1	3311	3237
Thermaerobacter subterraneus DSM 13965	2.88874	72	2368	2244
Treponema succinifaciens DSM 2489	2.89743	39.1714	2791	2681
Marinithermus hydrothermalis DSM 14884	2.26917	68.1	2262	2163
Prevotella disiens FB035-09AN	3.00383	40.2	2606	2394
Dialister microaerophilus UPII 345-E	1.39583	35.7	1334	1268
Aerococcus urinae ACS-120-V-Col10a	2.08097	41.9	1947	1791
Veillonella atypica ACS-134-V-Col7a	2.15191	39	1936	1866
Vibrio scophthalmi LMG 19158	4.85429	44.6	4474	4308
Vibrio ichthyoenteri ATCC 700023	4.64109	44.4	4318	4066
Streptococcus infantis SK1302	1.79225	39.2	2111	2102
Capnocytophaga ochracea DSM 7271	2.61293	39.6	2216	2128
Prevotella oralis ATCC 33269	2.83954	44.5	2296	2232
Desulfurobacterium thermolithotrophum DSM 11699	1.54197	34.9	1587	1500
Archaeoglobus veneficus SNP6	1.90194	47	2137	2066
Porphyromonas asaccharolytica DSM 20707	2.18637	52.5	1716	1648
Streptococcus pseudoporcinus SPIN 20026	2.11137	37	2007	1937
Methanotorris igneus Kol 5	1.8542	32.3	1816	1746
Actinomyces oris K20	2.87243	67.8	2547	2079
Sinorhizobium fredii NGR234	6.8919	62.4031	6472	6362
Vibrio anguillarum 775	4.05205	44.4781	3656	3406
Anaerococcus prevotii DSM 20548	1.99863	35.6663	1875	1783
Eubacterium infirmum F0142	1.91093	40.1	1776	1675
Prevotella micans F0438	2.48795	45.5	1995	1906
Afipia clevelandensis ATCC 49720	4.39955	61.7	4196	4114
Dolosigranulum pigrum ATCC 51524	1.86214	39.6	1702	1638
Facklamia languida CCUG 37842	1.71777	43.9	1562	1465
Helcococcus kunzii ATCC 51366	2.09646	29.5	1879	1800
Myroides odoratimimus CCUG 10230	4.02661	34.1	3574	3442
Eubacterium limosum KIST612	4.31671	47.5	4089	3966
Anaerophaga thermohalophila DSM 12881	4.32424	41.3	3319	3160
Muricauda ruestringensis DSM 13258	3.84242	41.4	3443	3378
Candidatus Nitrosoarchaeum limnia SFB1	1.77272	32.7	2171	2038
Marinomonas posidonica IVIA-Po-181	3.89994	44.3	3600	3473
Desulfotomaculum kuznetsovii DSM 6115	3.60139	54.9	3513	3373
Pseudoxanthomonas suwonensis 11-1	3.41905	70.2	3109	3023
Halomonas elongata DSM 2581	4.0613	63.6	3760	3628
Streptococcus parauberis KCTC 11537	2.14389	35.5	2198	1839
Streptococcus porcinus str. Jelinkova 176	2.02588	36.8	1979	1885
Streptococcus criceti HS-6	2.41856	42.2	2245	2091
